event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ECL,Taimali,245887.5258055959,2499991.61547929,42.3,347.88,5.8,6.44,6.44,41785.38687695802,6.44,10.797555278858265
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,CHN1,Nanxi,201886.55070537922,2565400.3445737497,42.82,123.87,3.46,4.19,4.19,43351.25553890686,4.19,6.861763621693771
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EDH,Donghe,280760.57562667166,2540992.5703867623,43.92,269.57,5.36,14.35,14.35,43064.78089863756,14.35,20.989868984822177
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SGL,Jiuru,198638.28771143605,2513365.0073509086,47.3,54.87,1.71,7.38,7.38,47825.86896209121,7.38,10.576053139049558
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,FULB,Fuli,279684.6711030999,2566459.5864335443,49.81,239.38,3.66,6.89,6.89,49122.08536914811,6.89,10.408640641313351
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TWL,Dongshan,198842.10359109606,2573162.312945934,50.49,130.37,1.91,1.99,1.99,50459.89967967978,1.99,3.4012203692204364
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,SPT,PingtungCity,197595.8194363285,2508939.229787553,51.23,50.97,2.35,5.22,5.22,51319.91479793487,5.22,7.747212401890114
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,YUS,Yushan,245914.45871904131,2598544.5180942486,57.98,188.48,3.17,4.72,4.72,58161.9490349472,4.72,7.389566969721567
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,WCKO,Fanlu,209128.9688178029,2593063.727313368,58.87,151.91,2.4,8.73,8.73,59415.64894427737,8.73,12.577193645642895
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ALS,Alishan,230596.58421863438,2600771.58304144,60.01,173.92,2.08,6.84,6.84,60225.29509394607,6.84,9.894321603829138
