序號,資料集名稱,分類,資料提供單位,資料集描述,欄位名稱,Url
713,高雄環境保護局招標資料,生活環境與其他,高雄市政府環保局,提供高雄環境保護局招標資料,Category(資料類別)、Title(標案名稱)、Announcement_Date(公告日期)、Budget(預算金額)、Content(備註說明事項)、Identifier(資料ID)、URL(相關網址)。,https://opendata.epa.gov.tw/Data/Contents/OTH02107/
714,高雄環境保護局最新消息,生活環境與其他,高雄市政府環保局,提供高雄環境保護局最新消息、活動專區最新訊息,Category(資料類別)、Title(標題)、UnitName(承辦單位)、NewsType(類別)、PublishDate(發布日期)、Content(內容)、Identifier(資料ID)、URL(相關網址)。,https://opendata.epa.gov.tw/Data/Contents/OTH02108/
715,高雄環境保護局徵才公告,生活環境與其他,高雄市政府環保局,提供高雄環境保護局徵才公告,Category(資料類別)、Title(徵才標題)、JobOrgan(徵才機關)、JobNo(職務編號)、JobTitle(職稱)、JobLevel(職等)、JobGrade(職系)、Quota(名額)、Place(辦公地點)、Jobs_Date(徵才期間)、Condition(資格條件)、Assignment(擔任工作)、Registration(報名方式)、Contact(聯 絡 人)、Remark(備註)、Identifier(資料ID)、URL(相關網址)。,https://opendata.epa.gov.tw/Data/Contents/OTH02106/
716,乾電池汞、鎘含量確認文件資料,生活環境與其他,廢棄物管理處,提供環保機關已核發之乾電池汞、鎘含量確認文件資料(電池資料、有效期限、汞鎘含量、電池外觀照片)，以供查詢電池是否已合法申請確認文件。,City(核發縣市)、CompanyName(申請業者名稱)、CnfDctNumber(確認文件字號)、status(確認文件狀態)、ValidDate(有效期限（年月日）)、BatteryCN(電池中文名稱)、BatteryEN(電池英文名稱)、BatteryForm(電池型式)、BatteryShape(電池形狀)、BatterySize(電池尺寸)、BatteryType(電池型號)、BatteryHg(電池含汞量)、BatteryCd(電池含鎘量)、Manufacture(電池製造國)、Photo1(電池外觀照片1)、Photo4(電池外觀照片4)、Photo2(電池外觀照片2)、Photo3(電池外觀照片3)。,https://opendata.epa.gov.tw/Data/Contents/OTH01472/
717,區域性地下水水質測站位置圖,水,環境監測及資訊處,顯示環保署設於臺灣本島的區域性地下水水質監測站位置。,測站編號(SiteId)、測站地址(SiteAddress)、測站位置(SiteLocation)、二度分帶X(TWD97)(TWD97TM2X)、二度分帶Y(TWD97)(TWD97TM2Y)、設立時間(EstTime)、管理單位(SiteManagerAgency)、測站類型(SiteType),https://opendata.epa.gov.tw/Data/Contents/GISGW/
718,區域性地下水水質監測井基本資料,水,環境監測及資訊處,環保署發布區域性地下水水質監測點基本資料，包括各測點地理環境位置及監測井特性等基本資料。本項資料為視監測計畫需求不定期更新,SiteName(測站名稱)、SiteEngName(測站英文名稱)、County(縣市)、Township(鄉鎮市區)、UgwDistName(地下水分區名稱)、TWD97Lon(TWD97經度)、TWD97Lat(TWD97緯度)、TWD97TM2X(TWD97二度分帶X)、TWD97TM2Y(TWD97二度分帶Y)、SiteAddress(測站位置描述)、StatusOfUse(測站狀態)。,https://opendata.epa.gov.tw/Data/Contents/WQXGWSite/
719,區域性地下水水質監測資料,水,環境監測及資訊處,環保署發布區域性地下水水質監測資料，包括一般地下水背景監測值及重金屬污染物監測值等資料。由於監測資料為每季現場採樣，並經實驗室檢測分析及資料品保品管程序，通常需要每季監測結束後隔月始能提供資料,SiteName(測站名稱)、SiteEngName(測站英文名稱)、UgwDistName(地下水區)、County(縣市)、Township(鄉鎮市區)、TWD97Lon(TWD97經度)、TWD97Lat(TWD97緯度)、TWD97TM2X(TWD97二度分帶X)、TWD97TM2Y(TWD97二度分帶Y)、SampleDate(採樣日期)、ItemName(測項名稱)、ItemEngName(測項英文名稱)、ItemEngAbbreviation(測項英文簡稱)、ItemValue(監測值)、ItemUnit(測項單位)。,https://opendata.epa.gov.tw/Data/Contents/WQXGW/
720,國內已制訂之碳足跡產品類別規則文件清單,"大氣,生活環境與其他",管制考核及糾紛處理處,國內已制訂之碳足跡產品類別規則文件清單,文件名稱(文件名稱)、制定者(制定者)、版本(版本)、核准日期(核准日期)、有效期限(有效期限)、適用產品範圍(適用產品範圍)。,https://opendata.epa.gov.tw/Data/Contents/ATM00462/
721,國內公害糾紛司法案件資料,生活環境與其他,管制考核及糾紛處理處,提供一般民眾查詢國內公害糾紛司法案件資料,Pollution(污染類型)、Name(案件名稱)、OccurDate(發生日期)、Summary(案件事實概要)、Plaintiff(原告)、Defendant(被告)、Conclusion(本案終結方式)、Explanation(學理說明)。,https://opendata.epa.gov.tw/Data/Contents/InternalJustice/
722,國外公害糾紛司法案件資料,生活環境與其他,管制考核及糾紛處理處,提供一般民眾查詢國外公害糾紛司法案件資料,Pollution(污染種類)、Country(發生國家)、Name(案件名稱)、OccurDate(發生日期)、Summary(案件事實概要)、Plaintiff(原告)、Defendant(被告)、DoubtfulPoint(法律上之爭點)、Opinion(法院之法律見解)。,https://opendata.epa.gov.tw/Data/Contents/ForeignJustice/
723,國際環保新聞週報,生活環境與其他,永續發展室,環保署每週針對重要國際環保新聞摘譯的資料,NewsNo(新聞編號)、NewsDate(新聞發布日期)、NewsTitle(新聞標題)、NewsCountry(新聞涵蓋地區)、NewsSource(新聞來源)、NewsClass(新聞主分類)、NewsContent(新聞內容)、NewsUrl(新聞網址)、NewsWeek(週別)。,https://opendata.epa.gov.tw/Data/Contents/INEWS/
724,基隆市水量水質自動監測連線傳輸監測紀錄值即時資料集,水,水質保護處,系統將回應最新監測數據之XML(最新一小時),CNO(連監測對象管制編號)、ABBR(連監測對象中文名稱)、DP_NO(監測位置編號)、DESP(監測位置中文描述)、M_DATE(監測日期)、M_TIME(監測時間hhmm)、M_VAL(監測值)、STATUS(狀態)、UNIT(監測值單位)、STD1(排放標準一)、STD2(排放標準二)、STD_S(排放標準說明),https://opendata.epa.gov.tw/Data/Contents/WAT00565/
725,基隆市重要環保統計資料,生活環境與其他,統計室,基隆市環境狀況資料，包括空氣、廢棄物、環境衛生及毒化物管理、公害陳情及其他相關統計等五大類數據,ItemName(統計項名稱)、Category(類別)、Year(年度)、Month(月份)、ItemUnit(監測單位)、ItemValue(監測值)。,https://opendata.epa.gov.tw/Data/Contents/STATKeelung/
726,執行機關一般廢棄物產生量,地,統計室,本資料彙整地方環保機關提報之一般廢棄物清理狀況，依縣市別統計各類一般廢棄物產生量及平均每人每日一般廢棄物產生量。,item1(統計期)、item2(統計區)、value1(總產生量)、value2(一般垃圾量)、value3(巨大垃圾量)、value4(資源垃圾量)、value5(廚餘量)、value6(平均每人每日一般廢棄物產生量),https://opendata.epa.gov.tw/Data/Contents/SOIL00154/
727,執行機關一般廢棄物處理量,地,統計室,本資料彙整地方環保機關提報之一般廢棄物清理狀況，依縣市別統計一般廢棄物各種處理方式處理量。,item1(統計期)、item2(統計區)、value1(總處理量)、value2(回收再利用量)、value3(焚化量)、value4(衛生掩埋量)、value5(其他處理量),https://opendata.epa.gov.tw/Data/Contents/SOIL00160/
728,執行機關資源回收設施統計資料,生活環境與其他,資源回收管理基金管理會,執行機關資源回收設施統計資料(年度、資源回收車、資源回收分類貯存場),Year(年度)、RecycleCar(資源回收車數量)、RecycleSite(資源回收分類貯存場數量),https://opendata.epa.gov.tw/Data/Contents/OTH01594/
729,執行機關資源回收量,地,統計室,本資料彙整地方環保機關提報之執行機關資源回收成果，依縣市別統計各類回收物數量。,item1(統計期)、item2(統計區)、value1(總計)、value2(紙類及紙製品)、value3(金屬類)、value4(塑膠及橡膠製品)、value5(玻璃製品)、value6(紡織品)、value7(家電用品)、value8(電池)、value9(資訊及通信物品)、value10(農藥容器及特殊環境用藥容器)、value11(食用油)、value12(其他),https://opendata.epa.gov.tw/Data/Contents/SOIL00156/
730,接受民間捐款鼓勵檢舉重大污染案件專案執行要點,生活環境與其他,環境督察總隊,關心環境保護之熱心人士捐款本署作為檢舉環境污染案件之獎金，依本要點給與檢舉獎金，以檢舉人向本署或其他環保、司法警察、檢察機關檢舉並因而查獲之重大水質污染及事業廢棄物污染案件為限。,文件(文件),https://opendata.epa.gov.tw/Data/Contents/OTH01446/
731,推動水污染總量管制作業規定,水,水質保護處,說明推動水污染總量管制作業規定,無,https://opendata.epa.gov.tw/Data/Contents/WAT00381/
732,推動產品碳足跡標示審議會決議事項,"大氣,生活環境與其他",管制考核及糾紛處理處,推動產品碳足跡標示歷次審議會決議事項,會議日期、會議名稱、議題、結論／決議。,https://opendata.epa.gov.tw/Data/Contents/ATM00475/
733,推薦機關(薦舉)環境教育人員認證申請書,生活環境與其他,環境保護人員訓練所,推薦機關(薦舉)環境教育人員認證申請書、注意事項、受薦舉者同意書、重大貢獻具體說明表、從事環境教育工作年資總表、工作年資證明文件、對傳統環境教育著有具體績效說明表、從事環境教育獲獎事項證明文件及郵寄封面,認證申請書、認證申請注意事項、環境教育工作證明文件、具體貢獻與績效說明文件、獲獎事項證明文件,https://opendata.epa.gov.tw/Data/Contents/OTH01420/
734,教育部事業廢棄物再利用機構許可及登記檢核資料,生活環境與其他,廢棄物管理處,提供教育部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,Area_name(縣市別)、Fac_no(機構管編)、Fac_name(機構名稱)、Fac_addr(機構地址)、userclass(目的事業主管機關)、AuditType(再利用類別)、Deadline_start(有效起始日期)、Deadline_end(有效到期日期)、Waste_no(再利用廢棄物代碼)、Waste_name(再利用廢棄物名稱)、Waste_source(廢棄物來源)、Reu_purp_notes(再利用用途)、Waste_Reu_qty(最大再用利量)、Totalqty_unit(最大再用利量單位)。,https://opendata.epa.gov.tw/Data/Contents/OTH01475/
735,淡水河系水環境優化願景聯繫會報委員會議,水,水質保護處,淡水河系水環境優化願景聯繫會報委員會議及工作小組會議資料,"淡水河系水環境優化願景聯繫會報委員會議及工作小組會議資料,pdf檔",https://opendata.epa.gov.tw/Data/Contents/WAT00524/
736,清淨家園顧厝邊綠色生活網EcoLife宣導摺頁,生活環境與其他,環境衛生及毒物管理處,清淨家園顧厝邊綠色生活網EcoLife功能說明與宣導,摺頁(folding),https://opendata.epa.gov.tw/Data/Contents/OTH00813/
737,清潔人員執行職務死亡濟助申請程序,生活環境與其他,環境督察總隊,清潔人員執行職務死亡濟助相關規定及申請表格,文件(文件),https://opendata.epa.gov.tw/Data/Contents/OTH01445/
738,清潔隊員節慶祝活動,生活環境與其他,環境督察總隊,清潔隊員節的由來及103年慶祝活動花絮,County(縣市)、Activity(活動內容)、Number of participants(參與人數)、 Venue(活動地點)、Date(活動日期)、Remarks(備註)。,https://opendata.epa.gov.tw/Data/Contents/OTH01196/
739,現有海水淡化廠概況,水,經濟部水利署,年報，次年4月底前上載；統計海水淡化廠之設計出水量、用水標的、淡化技術、完工時間、營運管理單位、投資金額,Year(統計年度)、ProductionPlant(廠名)、DesignedCapacity(設計出水量)、WaterConsumption(用水標的)、CompletionYear(完工時間)、OperationAndManagementUnit(營運管理單位)、Investment(投資金額)、Remarks(備註)。,https://opendata.epa.gov.tw/Data/Contents/WAT00532/
740,疏濬點位資料,水,經濟部水利署,本資料集主要提供全台灣水利署所掌管之最新各中央管河川疏濬資訊，包括疏濬規劃量與目前執行量等相關資訊。,識別碼(Identifier)、結束日期(EndDate)、執行量(ExecuteQuantity)、計畫名稱(PlanName)、規劃量(PlanQuantity)、河川別(River)、開始日期(StartDate)、統計時間(StatisticDate)、執行情形(Status)、單位(Unit)、水系(WaterSystem)、坐標_X(WGS84Location_X)、坐標_Y(WGS84Location_Y)。,https://opendata.epa.gov.tw/Data/Contents/WAT00544/
741,移動污染源空氣污染防制費收費統計,大氣,空氣品質保護及噪音管制處,業者申報移動污染源空氣污染防制費之汽柴油數量及金額,name(廠商名稱)、year(年)、month(月)、gasoline_volume(車用汽油數量(公升))、diesel_volume(車用柴油數量(公升))、money(空污費金額(元))。,https://opendata.epa.gov.tw/Data/Contents/ATM00197/
742,第二輪檢訂林班圖,林,農委會林務局,為提昇於事業區內施業便利性及表示位置，而依天然地形分劃的永久森林區劃單位。此資料為shapefile格式。,"事業區代碼,林班",https://opendata.epa.gov.tw/Data/Contents/FRT00022/
743,符合噪音管制標準車輛-國產汽油引擎車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-國產合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、PowerRpm(轉速(rpm))、EngineCapacity(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01448/
744,符合噪音管制標準車輛-國產柴油引擎車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-國產合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、PowerRpm(轉速(rpm))、EngineCapacity(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01454/
745,符合噪音管制標準車輛-國產機車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-國產合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、PowerRpm(轉速(rpm))、EngineCapacity(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01456/
746,符合噪音管制標準車輛-進口汽油引擎車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-進口合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、PowerRpm(轉速(rpm))、EngineCapacity(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01453/
747,符合噪音管制標準車輛-進口柴油引擎車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-進口合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、PowerRpm(轉速(rpm))、EngineCapacity(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01455/
748,符合噪音管制標準車輛-進口機車,生活環境與其他,空氣品質保護及噪音管制處,機動車輛噪音審驗合格證清冊-進口合格證明清冊,Item(項次)、Applicant(廠商)、ImportArea(地區)、VehicleCertNo(車型組代號)、EngineFamily(引擎族)、VehicleModel(車型名稱)、ApprovedDate(核准日期)、AccelerationNoise(加速dB(A))、StationaryNoise(原地dB(A))、MaximumPower(最大馬力(kW))、EngineCapacity(轉速(rpm))、PowerRpm(排氣量(c.c))、EngineNo(引擎流水碼)。,https://opendata.epa.gov.tw/Data/Contents/OTH01457/
749,細懸浮微粒資料（PM2.5）,大氣,環境監測及資訊處,細懸浮微粒資料（PM2.5）,Site(測站名稱)、county(縣市名稱)、PM25(細懸浮微粒濃度)、DataCreationDate(資料建置日期)、ItemUnit(測項單位)。,https://opendata.epa.gov.tw/Data/Contents/ATM00625/
750,貨品通關事前聲明確認作業指引,生活環境與其他,"毒物及化學物質局 ",輸入管理-貨品通關事前聲明確認作業指引,輸入管理-貨品通關事前聲明確認作業指引,https://opendata.epa.gov.tw/Data/Contents/OTH01515/
751,貨品通關事前聲明確認作業指引折頁,生活環境與其他,"毒物及化學物質局 ",輸入管理-貨品通關事前聲明確認作業指引折頁,輸入管理-貨品通關事前聲明確認作業指引折頁,https://opendata.epa.gov.tw/Data/Contents/OTH01517/
752,貨品通關事前聲明確認作業指引簡報,生活環境與其他,"毒物及化學物質局 ",輸入管理-貨品通關事前聲明確認作業指引簡報,輸入管理-貨品通關事前聲明確認作業指引簡報,https://opendata.epa.gov.tw/Data/Contents/OTH01518/
753,通訊傳播事業廢棄物再利用機構許可及登記檢核資料,生活環境與其他,廢棄物管理處,提供通傳會再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,Area_name(縣市別)、Fac_no(機構管編)、Fac_name(機構名稱)、Fac_addr(機構地址)、userclass(目的事業主管機關)、AuditType(再利用類別)、Deadline_start(有效起始日期)、Deadline_end(有效到期日期)、Waste_no(再利用廢棄物代碼)、Waste_name(再利用廢棄物名稱)、Waste_source(廢棄物來源)、Reu_purp_notes(再利用用途)、Waste_Reu_qty(最大再用利量)、Totalqty_unit(最大再用利量單位)。,https://opendata.epa.gov.tw/Data/Contents/OTH01481/
754,通過先期測試車機商/系統商,生活環境與其他,"毒物及化學物質局 ",提供使用者查詢已通過毒性化學物質運送車輛即時監控系統先期測試之車機商/系統商與車機型號，資料內容包含：車機商名稱、通過車機型號、車機商聯絡電話,FacName(車機商名稱)、GPSMachine(通過車機型號)、FacTel(車機商聯絡電話)。,https://opendata.epa.gov.tw/Data/Contents/OTH01015/
755,通過逐車審驗運送車輛,生活環境與其他,"毒物及化學物質局 ",提供使用者查詢已通過毒性化學物質運送車輛即時監控系統逐車審驗之運送車輛，資料內容包含：運送業者管編(統編)、運送業者名稱、運送業者電話、車號、正式核可日,FacNo(運送業者管編(統編))、FacName(運送業者名稱)、FacTel(運送業者電話)、PlateNo(車號)、PermitDate(正式核可日)。,https://opendata.epa.gov.tw/Data/Contents/OTH01047/
756,連江縣水量水質自動監測連線傳輸監測紀錄值即時資料集,水,水質保護處,系統將回應最新監測數據之XML(最新一小時),CNO(連監測對象管制編號)、ABBR(連監測對象中文名稱)、DP_NO(監測位置編號)、DESP(監測位置中文描述)、M_DATE(監測日期)、M_TIME(監測時間hhmm)、M_VAL(監測值)、STATUS(狀態)、UNIT(監測值單位)、STD1(排放標準一)、STD2(排放標準二)、STD_S(排放標準說明),https://opendata.epa.gov.tw/Data/Contents/WAT00585/
757,連江縣重要環保統計資料,生活環境與其他,統計室,連江縣環境狀況資料，包括空氣、廢棄物、環境衛生及毒化物管理、公害陳情及其他相關統計等五大類數據,ItemName(統計項名稱)、Category(類別)、Year(年度)、Month(月份)、ItemUnit(監測單位)、ItemValue(監測值)。,https://opendata.epa.gov.tw/Data/Contents/STATLianjiang/
758,野生動物保護區,生態,農委會林務局,圖示野生動物保護區分布位置。此資料為shapefile格式。,野生動物保護區名稱(NAME)、面積(Shape_STArea__面積()、c_name(c_name),https://opendata.epa.gov.tw/Data/Contents/ECO00073/
759,野生動物重要棲息環境,生態,農委會林務局,圖示野生動物重要棲息環境之分佈狀況。,野生動物重要棲息環境名稱(NAME)、c_name(c_name)、面積(Shape_STAr),https://opendata.epa.gov.tw/Data/Contents/ECO00072/
760,鹿林山測站小時值資料,大氣,環境監測及資訊處,鹿林山測站小時值資料，每小時發布,SiteId(測站代碼)、SiteName(測站名稱)、ItemId(測項代碼)、ItemName(測項名稱)、ItemUnit(測項單位)、MonitorDate(監測日期)、Concentration(數值),https://opendata.epa.gov.tw/Data/Contents/ATM00252/
761,鹿林山測站基本資料,大氣,環境監測及資訊處,環保署設於鹿林山測站之基本資料,SiteName(測站名稱)、SiteEngName(測站英文名稱)、County(城市)、Township(鄉鎮)、SiteAddress(地址)、SiteId(測站代碼)、TWD97Lon(經度(TWD97))、TWD97Lat(緯度(TWD97))、TWD97TM2X(TWD97TM2X)、TWD97TM2Y(TWD97TM2Y)。,https://opendata.epa.gov.tw/Data/Contents/ATM00417/
762,場址列管公文,"水,地",土壤及地下水污染整治基金管理會,場址列管紀錄相關公文,SiteID(場址代碼)、DocID(公文代碼)、DocNo(公文文號)、DocDate(公文日期)、KindName(公文類型)。,https://opendata.epa.gov.tw/Data/Contents/WAT00409/
763,場址勘查紀錄表,"水,地",土壤及地下水污染整治基金管理會,場址勘查紀錄表單,EMID(勘查記錄代碼)、SiteID(場址代碼)、SiteName(場址名稱)、CheckDate(勘查日期)、CheckHour(勘查時間)、CheckPlace(勘查地點及說明)。,https://opendata.epa.gov.tw/Data/Contents/WAT00408/
764,斯德哥爾摩公約出國報告,生活環境與其他,"毒物及化學物質局 ",聯合國斯德哥爾摩公約第7次持久性有機污染物締約國大會於2015年5月4日至5月15日於瑞士日內瓦國際會議中心舉行。,Name(名稱)、URL(連結)。,https://opendata.epa.gov.tw/Data/Contents/OTH00939/
765,森林步道,生活環境與其他,農委會林務局,提供資料包含：步道編號、步道名稱、步道分級、步道系統、子步道系統、管理單位、步道入口等欄位資訊。本資料集所提供之森林步道資訊僅供參考，步道服務現況請依原始資料來源網站為準。,number(步道編號)、name(步道名稱)、level(步道分級)、system(步道系統)、second_system(子步道系統)、manager(管理單位)、entrance(步道入口)。,https://opendata.epa.gov.tw/Data/Contents/OTH01303/
766,焚化廠底渣原始檢測資料,"大氣,地",環境督察總隊,全國焚化廠底渣原始檢測資料,IncineratorName(焚化廠名稱)、ReportDate(申報日期)、BottonAshOrigExamDate(底渣原始檢測日期)、Pb(鉛（mg／L）)、Cd(鎘（mg／L）)、Hg(汞（mg／L）)、Cr(鉻（mg／L）)、Sn(砷（mg／L）)、HexCr(六價鉻（mg／L）)、Dioxin(戴奧辛（ng I－TEQ／g）)、Cu(銅（mg／L）)、Se(硒（mg／L）)、Ba(鋇（mg／L）)、ExamAgency(檢測單位)。,https://opendata.epa.gov.tw/Data/Contents/SWIMSBottom/
767,焚化廠空污監測資料,"大氣,地",環境督察總隊,全國焚化廠空污監測資料,IncineratorName(焚化廠名稱)、RegistrationNo(焚化廠編號)、ReportDate(申報日期)、NOx(NOx（ppm）)、SOx(SOx（ppm）)、COx(COx（ppm）)、HCl(HCl（ppm）)、Dust(Dust（mg／Nm3）)、Opacity(不透光率（％）)、AirDosh1ExamValue(一號爐檢測值（ng－TEQ／Nm3）)、AirDosh1ExamDate(一號爐檢測日期)、AirDosh1ExamTimes(一號爐檢測次數)、AirDosh1ExamUnit(一號爐檢測單位)、AirDosh2ExamValue(二號爐檢測值（ng－TEQ／Nm3）)、AirDosh2ExamDate(二號爐檢測日期)、AirDosh2ExamTimes(二號爐檢測次數)、AirDosh2ExamUnit(二號爐檢測單位)、AirDosh3ExamValue(三號爐檢測值（ng－TEQ／Nm3）)、AirDosh3ExamDate(三號爐檢測日期)、AirDosh3ExamTimes(三號爐檢測次數)、AirDosh3ExamUnit(三號爐檢測單位)、AirDosh4ExamValue(四號爐檢測值（ng－TEQ／Nm3）)、AirDosh4ExamDate(四號爐檢測日期)、AirDosh4ExamTimes(四號爐檢測次數)、AirDosh4ExamUnit(四號爐檢測單位)。,https://opendata.epa.gov.tw/Data/Contents/SWIMSAir/
768,焚化廠飛灰穩定化檢測資料,"大氣,地",環境督察總隊,全國焚化廠飛灰穩定化檢測資料,IncineratorName(焚化廠名稱)、ReportDate(申報日期)、FlyAshStableExamDate(飛灰穩定化物檢測日期)、Pb(鉛（mg／L）)、Cd(鎘（mg／L）)、Hg(汞（mg／L）)、Cr(鉻（mg／L）)、Sn(砷（mg／L）)、HexCr(六價鉻（mg／L）)、CompressiveStrength(抗壓強度（kg／cm2）)、Dioxin(戴奧辛（ng I－ TEQ／g）)、Cu(銅（mg／L）)、Se(硒（mg／L）)、Ba(鋇（mg／L）)、ExamAgency(檢測單位)。,https://opendata.epa.gov.tw/Data/Contents/SWIMSFlyStable/
769,焚化廠基本資料,"大氣,地",環境督察總隊,全國各地焚化廠基本資料,IncineratorName(焚化廠名稱)、IncinMsrAreaSize(興建面積（公頃）)、IncinAddress(地址)、BuildMajorOrg(興建主辦機關)、BuildStartDate(開工日期)、BuildFinishDate(完工日期)、OperationYear(開始營運年月)、OperationDept(操作單位)、OperationDate(開始操作日期)、BuildIncentives(建設勵金（千元）)、FeedbackFund(回饋設施經費（千元）)、DsnHv(設計熱值（Kcal／Kg）)、DsnPrcQt(設計處理量（公噸／日）)、DsnEleQt(設計發電量（千度／日）)、EIAAuditAnnoDate(環評審查公告日期)、EIARelativeNo(環評審查結論相關文號)、LocalEPB(主管環保局)、BuildUtonBgt(每公噸攤提建設費（元／公噸）)、GovPrvFmlQt(縣府提供年保證處理量（噸／年）)、GovPrvUnipri(契約操作維護費（元／公噸）)、BizWasteFacProQt(一般事業廢棄物廠商保證量（公噸／年）)、IncineratorNum(爐數)、IncinWebAddress(焚化廠網址)、OperationType(營運型態)、IncinManagerAgency(營運監督機構)。,https://opendata.epa.gov.tw/Data/Contents/SWIMS/
770,焚化廠營運月報,"大氣,地",環境督察總隊,全國焚化廠營運月報資料,IncineratorName(焚化廠名稱)、ReportDate(申報日期)、GeneralWaste(一般廢棄物（公噸）)、BizGeneralWaste(一般事業廢棄物（公噸）)、IncinProcQt(焚化處理量（公噸）)、ButtomDustQt(底渣量（公噸）)、FlyAshSolidQt(飛灰固化物量（公噸）)、EqEffGasAcQt(廢氣處理設備活性碳使用量（公斤）)、ActElecQt(實際發電量（千度）)、ActSoldElecQt(實際售電量（千度）)、ActSoldElecPct(實際售電率（％）)、SoldElecIncome(售電收入（千元）)、OperationHour(操作時數（小時）)、NoOprtHour(停爐時數（小時）)、DsnProcQt(設計處理量（公噸）)、DustLandfillQt(灰渣送至掩埋場掩埋量（公噸）)。,https://opendata.epa.gov.tw/Data/Contents/SWIMSMonth/
771,焚化廠營運年報,"大氣,地",環境督察總隊,全國焚化廠營運年報資料,IncineratorName(焚化廠名稱)、ReportYear(申報年度)、GeneralWaste(一般廢棄物（公噸）)、BizGeneralWaste(一般事業廢棄物（公噸）)、IncinProcQt(焚化處理量（公噸）)、ButtomDustQt(底渣量（公噸）)、FlyAshSolidQt(飛灰固化物量（公噸）)、EqEffGasAcQt(廢氣處理設備活性碳使用量（公斤）)、ActElecQt(實際發電量（千度）)、ActSoldElecQt(實際售電量（千度）)、ActSoldElecPct(實際售電率（％）)、SoldElecIncome(售電收入（千元）)、OperationHour(操作時數（小時）)、NoOprtHour(停爐時數（小時）)、DsnProcQt(設計處理量（公噸）)、DustLandfillQt(灰渣送至掩埋場掩埋量（公噸）)。,https://opendata.epa.gov.tw/Data/Contents/SWIMSYear/
772,焚化爐煙囪位置圖,"大氣,地",環境督察總隊,顯示位於臺灣本島、澎湖、金門、馬祖等地之焚化爐煙囪位置。,Address(地址)、Coor_x(X坐標)、Coor_y(Y座標)、Epano(測站編號)、Inciner_na(廠區名稱)、Tel(電話)、Towncode(所在鄉鎮代碼)。,https://opendata.epa.gov.tw/Data/Contents/GISIC/
773,焚化爐廠區範圍圖,"大氣,地",環境督察總隊,顯示位於臺灣本島、澎湖、金門、馬祖等地之焚化爐廠區範圍。,address(地址)、epano(編號)、inciner_na(名稱)、tel(電話)。,https://opendata.epa.gov.tw/Data/Contents/GISICRange/
774,無人氣象測站基本資料,大氣,交通部中央氣象局,雨量測站的基本資訊,站碼(SiteId)、站名(SiteName)、縣市(County)、地址(SiteAddress)、經度(Lon)、緯度(Lat)、起始時間(StartTime)、撤站時間(EndTime)、所屬單位(SiteMangerAgency)。,https://opendata.epa.gov.tw/Data/Contents/ATM00445/
