序號,資料集名稱,分類,資料提供單位,資料集描述,欄位名稱,Url
54,土壤及地下水污染場址位置圖,"水,地",土壤及地下水污染整治基金管理會,顯示台灣本島經調查確認其土壤或地下水遭受污染之工廠、農地、加油站等，場址所在位置。,C_DATE(日期)、COUNTY_NAM(隸屬縣市)、LAND_NO(地號)、LPART(段名)、METHOD(建置單位)、NAME(名稱)、SITUATION(狀況)、SPART(小段)、TOWN_NAME(隸屬鄉鎮)、TYPE(型態)。,https://opendata.epa.gov.tw/Data/Contents/GISP24/
55,土壤及地下水污染場址基本資料,"水,地",土壤及地下水污染整治基金管理會,土壤及地下水污染場址基本資料，含所在地主管機關公告之控制場址及中央主管機關公告整治場址之名稱地址等基本資料,SITE_ID(場址編號)、SITE_NAME(場址名稱)、ANNO_NO(公告管制文號)、DEANNO_NO(公告解除文號)、COUNTY(縣市)、SITE_TYPE(場址類型)、SITE_USE(場址使用狀態)、POLLUTANT(污染物質及濃度)、POLLUTANTADDRESS(場址地址)、DTMX(TM2X座標)、DTMY(TM2Y座標)、CONTROLTYPE(場址管制類型)、ANNO_DATE(公告管制日期)、DEANNO_DATE(公告解除日期)、SITEAREA(場址面積)、LANDNO(地段地號)。,https://opendata.epa.gov.tw/Data/Contents/SGWC/
56,土壤及地下水污染管制區公告資料,"水,地",土壤及地下水污染整治基金管理會,土壤及地下水污染場址公告資料(土壤污染或地下水污染來源明確，其土壤或地下水污染物濃度達土壤或地下水污染管制標準者，所在地主管機關應公告為土壤、地下水污染控制場址)(土壤污染管制區(IsSoil)、地下水污染管制區(IsGw)欄位1表示列管，0表示未列管),AnnoNo(公告公文)、AnnoDate(日期)、AnnoTitle(主旨)、AnnoContent(公告事項)、SiteId(場址代碼)、County(縣市)、IsSoil(土壤污染管制區)、IsGw(地下水污染管制區)。,https://opendata.epa.gov.tw/Data/Contents/SGFM/
57,土壤污染物監測及管制標準,地,土壤及地下水污染整治基金管理會,指土壤因物質、生物或能量之介入，致變更品質，有影響其正常用途或危害國民健康及生活環境之虞，所訂定之各項列管污染物監測管制標準值,SoilNo(土壤污染物代碼)、SoilNameCht(土壤污染物中文名稱)、SoilNameEng(土壤污染物英文名稱)、SoilGroup(土壤污染物類別)、SoilUnitText(土壤污染物單位（純文字格式）)、MonitorNormal(非農作物監測值)、ControlNormal(非農作物管制值)。,https://opendata.epa.gov.tw/Data/Contents/SoilPolluant/
58,土壤污染管制區範圍圖,地,土壤及地下水污染整治基金管理會,顯示台灣地區依場址之土壤污染範圍，公告之土壤污染管制區範圍。,ADDRESS(實際廠(場)地址)、EDATE(截止日(許可證/申報))、EMI_ENAME(毒化物英文名稱)、EMI_ITEM(毒化物名稱(許可/申報))、EMI_SCALAR(申報量小數點展示位數)、EMI_TYPE(資料類別)、EMI_UNITS(申報量度量單位)、EMI_VALUE(許可/申報量)、EMS_NO(管制事業編號)、FAC_NAME(事業名稱)、PER_NO(許可證號)、PER_STATUS(許可證狀態)、SDATE(起始日(許可證/申報) )、UNINO(營利事業統一編號)。,https://opendata.epa.gov.tw/Data/Contents/GISPOP1/
59,大屯火山地區火山氣體分析資料,大氣,經濟部中央地質調查所,大屯火山地區火山氣體成份分析紀錄,資料日期(資料日期)、火山氣體成(火山氣體成),https://opendata.epa.gov.tw/Data/Contents/ATM00681/
60,大屯火山地區火山氣體連續觀測資料,大氣,經濟部中央地質調查所,大屯火山地區固定式火山氣體監測站連續分析紀錄,資料日期(資料日期)、火山氣體成(火山氣體成),https://opendata.epa.gov.tw/Data/Contents/ATM00680/
61,大屯火山地區地溫觀測資料,地,經濟部中央地質調查所,大屯火山地區地溫觀測紀錄,資料日期(資料日期)、地溫計深度(地溫計深度)、溫(溫),https://opendata.epa.gov.tw/Data/Contents/SOIL00143/
62,大屯火山地區溫泉水質分析資料,水,經濟部中央地質調查所,大屯火山地區野外溫泉水質採樣分析紀錄,資料日期(資料日期)、溫泉水質成分(溫泉水質成分)、採樣溫度(採樣溫度)、電導度(電導度)、pH(pH),https://opendata.epa.gov.tw/Data/Contents/WAT00625/
63,大屯火山地區溫泉水質連續觀測資料,水,經濟部中央地質調查所,大屯火山地區固定式溫泉水質監測站連續分析紀錄,資料日期(資料日期)、水質溫度(水質溫度)、電導度(電導度)、pH值(pH值)、水(水),https://opendata.epa.gov.tw/Data/Contents/WAT00624/
64,大甲媽祖遶境即時空品監測成果(E-motor),大氣,環境監測及資訊處,大甲媽祖遶境即時空品監測成果(2016/04/08-2016/04/17),MachineKey(手持裝置編號)、temp(溫度)、humi(相對溼度)、pm25(細懸浮微粒濃度)、pm25Level(細懸浮微粒分級指標)、lat(緯度)、lng(經度)、gps_time(手持裝置紀錄時間)。,https://opendata.epa.gov.tw/Data/Contents/ATM00543/
